"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-21",,,,,"10.8","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-22",,,,,"10.6","H,,S","15.0",",,I","0.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-24",,,,,"10.2","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-25",,,,,"10.1","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-26",,,,,"12.2","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-30",,,,,"10.2","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-02-01",,,,,"12.2","H,,S","18.9",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-02-02",,,,,"16.8","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-02-08",,,,,"12.3","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-02-12",,,,,"13.3","H,,S","22.2",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-02-15",,,,,"10.4","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-02-21",,,,,"14.7","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-02-23",,,,,"12.2","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-02-24",,,,,"11.9","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-02-27",,,,,"11.0","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-01",,,,,"13.8","H,,S",,,"7.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-02",,,,,"12.8","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-05",,,,,"11.2","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-06",,,,,"13.5","H,,S","15.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-07",,,,,"13.1","H,,S",,,"11.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-11",,,,,"11.7","H,,S","20.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-13",,,,,"14.0","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-15",,,,,"13.8","H,,S",,,"6.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-16",,,,,"10.6","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-20",,,,,"21.8","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-26",,,,,"13.6","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-28",,,,,"14.2","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-03-31",,,,,"13.6","H,,S","17.2",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-04-01",,,,,"14.7","H,,S","15.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-04-02",,,,,"16.7","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-04-04",,,,,"20.7","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-04-08",,,,,"17.3","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-04-12",,,,,"16.7","H,,S","20.0",",,I",,
